Latitude	Longitude	Address
41.39085	2.16626	29 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.37822	2.17867	8 Plaça del Duc de Medinaceli, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39365	2.16281	73 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.39814	2.14943	62 Carrer de Marià Cubí, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08006
41.39195	2.17642	42 Carrer d'Ausiàs March, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010
41.38005	2.17492	1 Plaça Reial, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.40071	2.17854	498 Carrer del Consell de Cent, Fort Pienc, Barcelona, Barcelona, CT, ES, 08013
41.39101	2.17167	28 Carrer de Roger de Llúria, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010
41.37997	2.1728	11 Carrer de Sant Pau, El Raval, Barcelona, Barcelona, CT, ES, 08001
41.379	2.15594	90 Carrer de Calàbria, Sant Antoni, Barcelona, Barcelona, CT, ES, 08015
41.38794	2.15691	159 Carrer de València, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08011
41.38422	2.16101	557 Gran Via de les Corts Catalanes, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08011
41.3944	2.15648	291 Carrer de Còrsega, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.38026	2.18082	4 Carrer de la Plata, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39037	2.12608	20 Carrer del Capità Arenas, Pedralbes, Barcelona, Barcelona, CT, ES, 08034
41.39608	2.1632	277 Carrer de Provença, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08037
41.37277	2.17215	26 Carrer de Palaudàries, El Poblesec, Barcelona, Barcelona, CT, ES, 08004
41.38152	2.18391	9 Pas de Sota Muralla, S. Pere, Santa Caterina, i la Rib., Barcelona, Barcelona, CT, ES, 08003
41.39035	2.17254	18 Carrer de Roger de Llúria, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08010
41.38079	2.17718	10 Carrer de n'Arai, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39908	2.16551	158 Carrer de Girona, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08037
41.38286	2.17173	105 Carrer la Rambla, El Raval, Barcelona, Barcelona, CT, ES, 08002
41.39404	2.14899	570 Avinguda Diagonal, Sant Gervasi-Galvany, Barcelona, Barcelona, CT, ES, 08021
41.37893	2.16936	21 Rambla del Raval, El Raval, Barcelona, Barcelona, CT, ES, 08001
41.38308	2.17003	11 Carrer del Pintor Fortuny, El Raval, Barcelona, Barcelona, CT, ES, 08001
41.38815	2.17325	69 Via Laietana, El Gòtic, Barcelona, Barcelona, CT, ES, 08003
41.39351	2.15026	212 Carrer de Muntaner, l'Antiga Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08036
41.38468	2.17919	2 Carrer del Civader, S. Pere, Santa Caterina, i la Rib., Barcelona, Barcelona, CT, ES, 08003
41.43365	2.14735	126 Carrer de Berruguete, La Vall d'Hebron, Barcelona, Barcelona, CT, ES, 08035
41.40067	2.20863	4 Carrer de Lope de Vega, Diag. Mar i el Front Mar. del Pob., Barcelona, Barcelona, CT, ES, 08005
41.38671	2.18418	28 Passeig de Picasso, S. Pere, Santa Caterina, i la Rib., Barcelona, Barcelona, CT, ES, 08003
41.37589	2.16706	Carrer de les Flors, El Raval, Barcelona, Barcelona, CT, ES, 08001
41.39031	2.1208	2 Carrer del Marquès de Mulhacén, Sarrià, Barcelona, Barcelona, CT, ES, 08034
41.38975	2.14205	25 Carrer de Loreto, Les Corts, Barcelona, Barcelona, CT, ES, 08029
41.42533	2.12127	84 Carretera de Vallvidrera al Tibidabo, Vallvid. el Tibidabo i les Planes, Barcelona, Barcelona, CT, ES, 08035
41.3859	2.15133	208 Carrer del Comte Borrell, La Nova Esquerra de l'Eixample, Barcelona, Barcelona, CT, ES, 08029
41.40822	2.21288	Parc de Diagonal-Mar, Diag. Mar i el Front Mar. del Pob., Barcelona, Barcelona, CT, ES, 08019
41.39284	2.16433	62 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
41.3836	2.17831	16 Carrer de Jaume I, El Gòtic, Barcelona, Barcelona, CT, ES, 08002
41.39401	2.16234	75 Passeig de Gràcia, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08008
41.38671	2.16669	21 Ronda de la Universitat, Dreta de l'Eixample, Barcelona, Barcelona, CT, ES, 08007
